Probe Set ID,Gene Symbol
b2989_at,yghU
b2997_at,ECs3882 /// hybO
b2998_at,ECs3883 /// yghW
b2999_at,ECs3884
b3000_at,ECs3884 /// yghX
b3001_at,gpr
b3004_at,---
b3007_at,ECs3891
b3015_at,ECs3900 /// ygiQ
b3020_at,ECs3904 /// ygiS
b3021_at,mqsA
b3022_at,mqsR
b3023_at,ECs3905 /// ygiV
b3027_at,ygiZ
b3042_at,yqiC
b3050_at,yqiJ
b3051_at,yqiK
b3052_at,hldE
b3100_at,ECs3982 /// yqjK
b3122_f_at,---
b3254_at,---
b3472_at,dcrB /// ECs4321
b3694_at,dgoR
b3776_at,ECs4710
b3808_at,ECs4737
b3814_at,ECs4745 /// yigE
b3836_at,tatA /// tatA
b3837_at,---
b3838_at,ECs4767 /// tatB
b3913_at,cpxP /// cpxP
b3914_at,cpxP /// cpxP
b3975_at,ECs4902
b4103_at,---
b4140_at,fxsA
b4250_at,bdcR
b4256_at,yjgM
b4285_at,---
b4286_at,yjhV
bacA_b3057_at,bacA /// uppP
baeR_b2079_at,baeR /// ECs2887
baeS_b2078_at,baeS /// ECs2886
barA_b2786_at,barA /// ECs3646
basR_b4113_at,basR /// ECs5095
basS_b4112_at,basS /// ECs5094
bax_b3570_f_at,bax
bcp_b2480_at,bcp /// bcp
bcr_b2182_at,bcr /// ECs3074
betA_b0311_at,betA
betB_b0312_at,betB
betI_b0313_at,betI /// ECs0359
betT_b0314_at,betT /// ECs0360
bfr_b3336_at,bfr
bglA_b2901_at,bglA /// ECs3773
bglB_b3721_at,bglB
bglF_b3722_at,bglF
bglG_b3723_at,bglG
bglJ_b4366_at,bglJ /// ECs5326
bglX_b2132_at,bglX
bioA_b0774_at,bioA /// ECs0852
bioB_b0775_at,bioB /// ECs0853
bioC_b0777_at,bioC /// ECs0855
bioD_b0778_at,bioD /// bioD
bioF_b0776_at,bioF /// ECs0854
bioH_b3412_at,bioH
birA_b3973_at,birA
bisC_b3551_at,bisC /// ECs4436
bisZ_b1872_at,torZ
blc_b4149_at,blc /// ECs5130
bolA_b0435_at,bolA /// ECs0489
brnQ_b0401_at,brnQ /// ECs0451
btuB_b3966_at,btuB
btuC_b1711_at,btuC /// ECs2418
btuD_b1709_at,btuD /// ECs2416
btuE_b1710_at,btuE
btuR_b1270_at,btuR
cadA_b4131_at,cadA /// ECs5113
cadB_b4132_at,cadB /// cadB
cadC_b4133_at,cadC /// ECs5115
cafA_b3247_at,ECs4119 /// rng
caiA_b0039_at,caiA /// ECs0042
caiB_b0038_at,caiB
caiC_b0037_at,caiC
caiD_b0036_at,caiD /// ECs0039
caiE_b0035_at,caiE /// ECs0038
caiF_b0034_at,caiF /// ECs0037
caiT_b0040_at,caiT /// ECs0043
carA_b0032_at,carA /// ECs0035
carB_b0033_at,carB /// carB
cbl_b1987_at,cbl
cbpA_b1000_at,cbpA /// ECs1155
cca_b3056_at,cca /// cca
cchA_b2457_at,ECs3319 /// eutM
cchB_b2456_at,ECs3318 /// eutN
ccmA_b2201_at,ccmA /// ECs3090
ccmB_b2200_at,ccmB /// ECs3089
ccmC_b2199_at,ccmC /// ECs3088
ccmD_b2198_at,ccmD /// ECs3087
ccmE_b2197_at,ccmE /// ECs3086
ccmF_b2196_at,ccmF /// ECs3085
ccmH_b2194_at,ccmH
cdd_b2143_at,cdd
cdh_b3918_at,cdh /// ECs4843
cdsA_b0175_at,cdsA
celA_b1738_at,chbB /// ECs2444
celB_b1737_at,chbC /// ECs2443
celC_b1736_at,chbA /// ECs2442
celD_b1735_at,chbR /// ECs2441
celF_b1734_at,chbF
cfa_b1661_at,cfa
chaA_b1216_at,chaA /// ECs1721
chaB_b1217_at,chaB
chaC_b1218_at,chaC /// ECs1723
cheA_b1888_at,cheA /// ECs2598
cheB_b1883_at,cheB /// ECs2593
cheR_b1884_at,cheR /// ECs2594
cheW_b1887_at,cheW /// ECs2597
cheY_b1882_at,cheY /// ECs2592
cheZ_b1881_at,cheZ /// ECs2591
chpA_b2782_at,ECs3642 /// mazF
chpB_b4225_at,chpB /// ECs5203
chpR_b2783_at,ECs3643 /// mazE
chpS_b4224_at,chpS /// ECs5202
cirA_b2155_at,cirA /// ECs3047
citA_b0619_at,citA /// ECs0658
citB_b0620_at,citB /// dpiA
citC_b0618_at,citC /// ECs0657
citD_b0617_at,citD /// ECs0656
